ASUS,ASUS ROG GeForce GTX 1080 Ti DirectX 12 STRIX-GTX1080TI-11G-GAMING Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1060 GAMING| ACX 2.0 (Single Fan)| 03G-P4-6160-KR| 3GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,$4.99 Shipping
MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 AERO 8G OC Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080TTOC-8GD Turbo OC Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Mini| ZT-P10700G-10M| 8GB GDDR5,$4.99 Shipping
XFX,XFX Radeon RX 580 DirectX 12 RX-580P427D6 GTS XXX Edition Video Card w/ Backplate,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme Core 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810F-10P,Free Shipping
EVGA,EVGA GeForce GTX 1080 Ti SC2 HYBRID GAMING| 11G-P4-6598-KR| 11GB GDDR5X| HYBRID & LED| iCX Technology - 9 Thermal Sensors,$4.99 Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 GAMING X 4G Video Card,$4.99 Shipping
ASUS,ASUS GeForce GTX 1070 Ti TURBO-GTX1070TI-8G Video Card,$4.99 Shipping
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$4.99 Shipping
Sapphire Tech,SAPPHIRE Radeon RX VEGA 64 DirectX 12 100410L 8GB 2048-Bit HBM2 HDMI / TRIPLE DP (UEFI) PCI Express 3.0 CrossFireX Support ATX Video Card ,$4.99 Shipping
